id;name;description;last_start_date;est_end_date;remaining_time;date_trx;document_no;document_action;document_status;approved;processed;date_approve;date_reject;rejected_reason;uid;active;ad_organization_id;currency_id;cost_center_id;document_type_id;owner_id
1;open architecture;calculating;2021-05-23T06:53:03;2021-05-24T00:31:05;83742;2021-05-23T19:00:26;Home Loan Account generate Dis;Generic Me;Bacon Congo ;false;false;2021-05-23T11:19:16;2021-05-23T21:00:04;Moroccan Dirham;811e22a5-a3d3-4ffe-8e48-876a368d3f7c;true;1;1;1;1;1
2;cross-platform Credit Card Acc;program Falkland Islands Pound;2021-05-23T15:00:43;2021-05-23T11:47:16;37305;2021-05-24T01:25:40;Moldovan Leu;Robust Div;system Steel;true;true;2021-05-23T14:40:14;2021-05-23T21:36:47;Berkshire 24 hour;8a6b97a9-1a03-43e8-b4d2-e78730f9ec73;false;2;2;2;2;2
3;cross-platform Product;Pizza deposit;2021-05-23T14:11:11;2021-05-23T19:01:40;51095;2021-05-23T04:48:46;Generic Croatian Kuna Global;Advanced p;interactive ;false;false;2021-05-23T14:37:36;2021-05-23T14:01:35;back-end programming Investment Account;0daccd08-66b1-4720-9b40-7559cf286ba1;true;3;3;3;3;3
4;Sausages Fantastic Concrete So;Wooden Handmade Granite Pizza;2021-05-23T11:16:22;2021-05-23T03:35:07;5410;2021-05-24T02:46:09;driver calculate mesh;Iowa Unbra;bluetooth re;true;false;2021-05-23T18:54:44;2021-05-23T14:48:30;lavender Lilangeni front-end;23e6fcb2-848e-4e83-9c89-839b6ac7f577;true;4;4;4;4;4
5;Singapore Dollar;solution;2021-05-23T08:38:33;2021-05-23T06:06:27;71627;2021-05-23T17:00:36;Australia cutting-edge;Borders ov;Credit Card ;true;true;2021-05-23T03:34:32;2021-05-24T00:54:49;Heights;964a6b02-03bd-4ba9-8879-210798d6060e;true;5;5;5;5;5
6;needs-based hard drive Ergonom;strategy Innovative;2021-05-24T01:01:01;2021-05-23T06:38:52;58764;2021-05-23T15:19:52;panel Enhanced;United Sta;Mississippi ;false;true;2021-05-23T14:29:33;2021-05-23T14:27:36;Licensed Fresh Table innovate rich;579e9101-d1fd-4d32-92f4-993114776e4e;true;6;6;6;6;6
7;bluetooth Oklahoma program;Investment Account olive;2021-05-23T06:35:58;2021-05-23T20:11:55;68642;2021-05-23T20:58:13;infrastructure program Gateway;didactic c;Haiti Invest;true;false;2021-05-23T20:18:39;2021-05-23T04:54:25;internet solution Hong Kong Lodge;b1b3c429-f15a-4b82-8781-66fbcaec7b49;true;7;7;7;7;7
8;array;bypassing;2021-05-23T18:43:44;2021-05-23T04:37:02;60330;2021-05-23T22:32:09;Reverse-engineered visionary n;virtual;Yemeni Rial ;true;true;2021-05-23T18:18:53;2021-05-23T11:24:33;Refined Steel Bacon quantifying compressing;14084899-83b0-4792-b8ac-231af460df64;true;8;8;8;8;8
9;Music SDD neural;solid state evolve Saint Vincent and the Grenadines;2021-05-23T10:19:57;2021-05-23T20:05:53;21248;2021-05-24T00:40:59;Tuvalu SDD;Senior;systems opti;true;false;2021-05-23T14:28:14;2021-05-23T08:52:04;rich Granite Refined;e12f34a0-976c-41b4-9285-4b74e19c8567;true;9;9;9;9;9
10;Home Cambridgeshire Reduced;Bike throughput;2021-05-23T07:14:41;2021-05-23T08:17:01;95805;2021-05-23T06:54:36;neural-net red Brunei Darussal;Fresh micr;5th generati;true;true;2021-05-23T15:31:22;2021-05-23T05:36:24;JSON;d572a5c3-0adf-479b-a4e0-92eb414b3356;true;10;10;10;10;10
