id;name;description;type;uid;active;ad_organization_id
1;e-commerce Auto Loan Account;Assurance North Carolina;Bacon Club SMS;5181b22f-46cb-4752-a7d5-de6a9b7b8907;false;1
2;Prairie;Practical Steel Chips Towels;white;bff92fb3-d3e7-4be9-849d-bbe39f72362e;true;2
3;override Bolivia e-business;Strategist Baby;Rhode Island turquoise;936fac9c-f683-4d76-9b68-eb745db1a9b7;false;3
4;Networked Car;artificial intelligence;Shoes SAS;ecb31554-c9d0-4516-b053-1ab26cdb3ae0;true;4
5;Bulgaria tan;Home Dominican Peso leading-edge;mindshare;3e50a483-3ae7-42b0-91fd-f47c6678c148;false;5
6;Tennessee transmitter SSL;Ball;index;e4683587-7c21-4134-ac0d-507fa86271e4;true;6
7;Norwegian Krone e-services;Incredible;Pennsylvania Connecticut Industrial;380e451f-13cd-4e0d-b241-0b060f28cf11;false;7
8;Norwegian Krone;Fantastic Steel Ball;Wooden;b17ee31b-7856-4f5a-bc15-fd2a5da81cc2;false;8
9;HTTP;Delaware Avon;Christmas Island;d095f157-b330-4e65-a8b8-dfc69c881474;false;9
10;Plastic engage Surinam Dollar;methodology Montana synthesize;Norfolk Island;1a13a87c-68c9-4e9c-b676-99a31cfbb7b3;false;10
