id;uid;active;evaluation;ad_organization_id;vendor_id;prequalification_id
1;7436e5d0-38bf-44e3-8ee8-2cddc1e50ec8;false;Handcrafted Granite Chicken Bacon;1;1;1
2;ca29b5cd-44d3-478a-9bd2-cf787dcbfc56;false;back-end applications copy;2;2;2
3;688dd404-4856-4b76-b6e6-256268b46652;false;utilisation Response streamline;3;3;3
4;2833c5cc-a422-443f-974c-52893a45c51b;false;Implementation Senior;4;4;4
5;d312f4e5-9ef1-4758-b83a-323f16f7469a;true;model Automotive program;5;5;5
6;26b9b21a-e929-4798-a6da-bfacac9f316a;false;Run Borders;6;6;6
7;3c1dce19-abd3-4c43-a656-ebcf716dc199;false;Bacon;7;7;7
8;c9f6ef91-2ad0-435d-a131-b33ef11dabcc;true;Home Home Credit Card Account;8;8;8
9;23ae3e22-abf8-4d74-8097-acd5e140777c;true;Public-key lavender;9;9;9
10;fc4ccfb5-b482-481f-9d91-1fcd805a0e08;false;Tactics Oklahoma redefine;10;10;10
