id;address;tax_id;bank_account;uid;active;ad_organization_id;parent_organization_id
1;Jewelery Tasty Granite Shirt Cuban Peso Peso Convertible;firewall firmware Games;Bike Germany;c8eb4ec3-b8fa-4f51-b81c-a87b68b58702;false;1;1
2;payment Iowa innovate;interface Shoes Buckinghamshire;protocol Profound;1b117df0-b2f9-427f-a420-a6a8de2c4ca0;true;2;2
3;Personal Loan Account infomediaries Vatu;Pennsylvania auxiliary;Response Applications driver;0305fcf7-bfb9-4818-9429-8744b41f3cb1;true;3;3
4;Bedfordshire Gorgeous;Research;Triple-buffered demand-driven;a73daa60-df2e-4ef8-baad-61aad25819a3;false;4;4
5;invoice;transmitter;connecting;9b358efe-b897-4b7f-bb65-1181ae1b5630;true;5;5
6;CSS;leverage;Saint Lucia system Associate;40b5e3f4-9504-4bcd-acb2-c6fdb9f373d0;true;6;6
7;Plaza Soft;RSS Architect front-end;Awesome Fresh Computer global programming;5f797616-7bcc-43bd-9987-9b9ac9359972;false;7;7
8;Cambridgeshire benchmark;ivory;Court calculate Self-enabling;45661ecf-1a69-4b59-845b-bdd1d18d1ec9;true;8;8
9;streamline Gorgeous Rubber Sausages;Tunnel cultivate;applications internet solution;c3c0ebb4-83a1-4633-91bc-3acd236680fb;false;9;9
10;platforms interfaces;Lodge Regional bandwidth-monitored;Ergonomic Inverse open-source;318ec684-422e-4b8e-8a2c-014cddf96d87;true;10;10
