id;name;description;rate;valid_from;order_type;uid;active;ad_organization_id;tax_category_id
1;Practical Frozen Shoes orange best-of-breed;programming SMTP groupware;Visionary Games;2020-07-21;BOTH;4f11261f-49f5-4473-8ca9-974ed2c402b6;true;1;1
2;HDD Electronics PCI;e-markets communities synthesize;leading-edge Granite;2020-07-22;BOTH;f4f65714-dcc5-4088-9f27-5e57352a5bb8;false;2;2
3;compress;collaboration;HDD;2020-07-21;BOTH;81a2f3f9-492c-4f5b-9dab-4ca26553f6bc;false;3;3
4;invoice;Tuna Savings Account multimedia;Money Market Account Auto Loan Account;2020-07-21;SALES;cc506e56-a04a-4ccd-bce7-09db318cedce;true;4;4
5;bluetooth neural strategic;B2C Architect Outdoors;payment lavender Solomon Islands;2020-07-21;PURCHASE;424a0f32-eda9-44d9-a2b8-170430c57d50;true;5;5
6;SMS Mouse Afghani;disintermediate bus;complexity Direct payment;2020-07-21;SALES;20cf439c-726b-4bab-9eb4-b395a64d396f;false;6;6
7;override digital;online Eritrea;Cordoba Oro Handcrafted Wooden Ball;2020-07-21;SALES;fc50bd56-a61d-4e77-a0f6-25a0ef47cc41;true;7;7
8;solid state alarm;conglomeration copying Refined Cotton Bike;Home;2020-07-21;SALES;0d046c1d-ef94-42ba-bf84-6a47ce01ad0d;true;8;8
9;hacking Customizable;Guyana Dollar Grass-roots;Malaysia wireless Strategist;2020-07-21;BOTH;fdc5dd17-ea49-4439-9f3c-681b0981db01;false;9;9
10;Intelligent Metal Gloves;Lake Alaska;paradigms Home superstructure;2020-07-21;PURCHASE;c5aa05c8-232e-40b9-997b-6eaaa57e4516;true;10;10
