id;name;description;evaluation_type;multiple_options;uid;active;ad_organization_id;bidding_criteria_id
1;firewall Technician THX;optical Officer Fantastic;Malaysia;false;8bf951fb-8be7-4b53-a4be-48e55742a438;false;1;1
2;calculate;Corporate;time-frame incentivize;false;309ee4fc-3753-413d-bac3-fa8bc2b8afb8;false;2;2
3;real-time unleash;channels Bedfordshire JSON;pink executive;true;ac4c8736-e4cf-4537-9446-c8469a729761;false;3;3
4;ROI;British Indian Ocean Territory (Chagos Archipelago) overriding transmit;drive Small;false;fd4569f6-fc2f-47d4-934a-4ccb816b5e5e;false;4;4
5;Checking Account Producer systemic;ADP;scalable Lead Future;false;11b0ec22-a4bb-42a9-a175-169b6cc36d3b;false;5;5
6;Bike mobile;Associate array;invoice;true;de0d5ac9-58f1-45d5-aeb7-c505c3a55632;false;6;6
7;Key technologies;mobile bypassing;reboot;true;b6aa7e7a-c029-4dfb-9d87-422c06988258;true;7;7
8;Arizona withdrawal;SSL;Vermont TCP Rand Namibia Dollar;true;b5c0a4ff-3578-4e33-98cf-250cd5e35548;false;8;8
9;digital digital;Kazakhstan;Credit Card Account;false;c6df250c-6615-4e63-a927-eec38ebb1402;false;9;9
10;Usability Program Rustic;Rest;Burkina Faso navigating;true;3622a6e1-e150-4c3e-8139-28298db94dc2;false;10;10
