id;document_action;document_status;notes;evaluation;average_score;pass_fail;answer;document_evaluation;uid;active;ad_organization_id;bidding_submission_id;bidding_sub_criteria_line_id
1;invoice;port Dynamic;monitor Administrator;Investment Account Tools;8711;Euro Court Radial;Networked;false;cc5c5659-267b-427a-ae8e-b689d52fe3f2;false;1;1;1
2;copying;Rubber;intangible Home Loan Account;zero defect;55510;multimedia Hawaii supply-chains;Developer;true;61646c7c-d779-4b41-bb7d-dd57187b6a79;true;2;2;2
3;Cross-plat;deposit bus;Aruba Missouri;Internal mobile;8755;Plastic deposit quantifying;payment Handmade quantify;false;c1c09ef5-1dc6-4d5d-b37f-92fe5f7bfe6e;false;3;3;3
4;quantifyin;Washington h;Pennsylvania generating;User-centric digital Path;95639;ivory;purple reboot utilize;true;b6611e98-6bbc-4521-b346-5c5f8282a0b9;true;4;4;4
5;Synergisti;Web Handcraf;Ergonomic;Gorgeous Steel Towels efficient Chips;85134;Borders Ameliorated Wooden;Tuna;true;0139e79f-5c26-4637-ac11-7c29af0357b2;false;5;5;5
6;auxiliary;Grocery alar;Multi-lateral Palau Metrics;virtual;28565;Internal Optimization;JBOD Practical Rubber Shoes;true;780e2e1c-6791-4701-82e5-2cf038d16e3f;true;6;6;6
7;Investor S;Spurs;synthesizing Wooden Personal Loan Account;IB Fantastic;95737;Central;Fresh deploy;true;74075a1e-2eff-4814-9be1-32d5111eaeee;false;7;7;7
8;haptic rec;Visionary;Marketing Frozen;bricks-and-clicks;23728;secondary Stream withdrawal;functionalities optical;false;2b7b7ab8-cee6-4dc9-b5e7-ff8ce1b05071;false;8;8;8
9;Jordan Gor;revolutioniz;dynamic;grey;48576;orchid wireless Rustic Concrete Fish;Montana Global Clothing;true;f882cf7d-7626-4bd3-8a61-d4db9de09d7b;true;9;9;9
10;Cambridges;mesh;user-centric;Product;68349;Cambridgeshire;Generic Soft Keyboard Mobility;false;ea89836e-526f-42de-8d3b-3c985471dcd2;false;10;10;10
