id;name;value;short_name;description;swift_code;uid;active;ad_organization_id
1;Paradigm;Forward;Future;Towels;"GCUEPQRXZ07";f28282a3-5185-4673-b393-ae6b63951ba4;false;1
2;Tasty Investment Account;International Chicken Baby;Bulgarian Lev Home;blue;"JBNYUF9HR79";e8edf5c7-92a2-4ae9-a20a-7fe0bbec9980;false;2
3;Innovative yellow;transmit optical GB;compelling;digital;"JFRSQTK8";b272b781-9589-4b91-9fde-da149a9d157e;false;3
4;Generic Metal Chicken Delaware salmon;primary digital Electronics;benchmark Computer;Assistant Avon Ohio;"KRCLSA0G";3a142be4-dcb4-40e2-b42e-04733553905e;false;4
5;Personal Loan Account deposit;Internal;Kenya;Track 6th generation;"GWZKPZG97OY";37fe6ad9-83f8-4f50-8a2b-0701edd33820;true;5
6;Fresh;Saint Lucia cultivate Profit-focused;Assimilated Central;RSS;"NNBRLPACKX5";32c41023-0640-4016-a6b3-76b6074e5fec;true;6
7;Salad Missouri Gloves;Creative Small Granite Salad Implementation;online;Rubber;"QAPLAEJIOVT";5cb4c8ae-0c53-4cdf-9ee9-4f297a2d7a6a;true;7
8;USB;Bacon Intranet;Compatible copying;Ergonomic;"GZXOLS0N";45fa0cb7-0f01-4dd9-9ea3-de9feb10fd4c;false;8
9;eyeballs IB seize;deposit;Electronics;invoice;"DEOPHUOLVR3";0bbdcc42-0003-495c-9e38-4bd60ba9bbb9;false;9
10;maroon;deposit parsing Senior;Product;RSS Credit Card Account deposit;"SWMZSRIN2RV";d7048257-e88d-4576-b3d0-07f673204791;true;10
