id;code;name;description;after_delivery;as_default;calculate_business_day;discount;discount_2;discount_days;discount_days_2;document_note;fix_month_cut_off;fix_month_day;fix_month_offset;fixed_due_date;grace_days;net_day;net_days;on_next_business_day;transaction_type;valid;uid;active;ad_organization_id
1;hacking COM payment;Convertible Marks Chair input;Dynamic Factors;false;false;true;4551;25768;62293;94675;generate Infrastructure;96065;26114;48852;false;51218;F;17702;false;PURCHASE;false;6114cb79-cff0-4755-88de-038c87fa1bbb;true;1
2;Chips;Solutions sexy back up;Producer redundant support;false;false;true;97800;92275;34222;20712;Creative Forward;48887;47381;15138;false;56404;b;62214;true;PURCHASE;true;15f2e605-4d24-4300-a28e-34800c02f5d9;true;2
3;cultivate payment ca;Gorgeous Granite Chips;Licensed Euro;false;true;true;42284;60458;24312;43566;collaboration;92972;22956;14648;false;56788;t;68923;true;SALES;true;c1548dc5-059a-4d64-a22c-c86fd66afc47;false;3
4;Robust brand;Kiribati;niches SQL;true;true;true;16267;2037;92953;63109;system-worthy;27019;53297;60650;false;65530;D;78117;false;SALES;false;3b11a53b-1f18-4454-93dd-5ca338de708c;true;4
5;Personal Loan Accoun;Factors cross-platform haptic;Brand Generic;true;false;true;26772;35214;26671;74060;innovate solutions;23195;11868;65094;false;36723;e;57315;true;SALES;true;eb69fdd6-f687-4e2d-a495-c29db8af5b12;false;5
6;navigating quantify;deposit;green infomediaries feed;true;false;false;81199;14212;14639;72017;deposit;16164;78562;92789;true;59123;s;78397;false;SALES;false;42c875e6-f71a-4335-8aa4-cb2397ad4bce;false;6
7;matrix transmitter T;maroon Bedfordshire Frozen;paradigms Yen;false;false;true;37342;92775;46642;57311;AI Health Awesome Wooden Bike;76628;77584;86291;true;83934;t;21923;false;PURCHASE;true;d6c52e1e-c3e0-414f-89be-1ca404f1c9db;false;7
8;Camp invoice Interna;white Guyana synthesize;Metal Mill Chile;false;false;true;58894;39448;579;49913;Coordinator;76675;9071;44851;true;79178;D;64093;true;SALES;true;027cf86d-2647-4974-9940-363e2b25b93d;true;8
9;California SDD Home;grey Saint Martin;Mouse Designer;false;false;true;17558;64156;65453;65268;Health;42880;12516;12086;true;15458;M;93274;true;BOTH;true;18af6425-6627-4b75-9a38-029ed3755ea6;true;9
10;Mouse;pixel invoice Manager;Field Manager Soft;true;true;false;36048;93224;48920;72253;monitor Tuna HDD;22928;33669;24998;true;420;E;18564;true;PURCHASE;true;00560fc2-cd15-4595-b4e6-8a4a44a2fe81;false;10
