id;name;description;start_date;end_date;uid;active;calendar_id;ad_organization_id
1;6th generation distributed Sleek Concrete Ball;Manager reboot compressing;2020-09-02;2020-09-02;c63961d5-2ede-4f26-9347-9f0561f4080d;false;1;1
2;magenta Horizontal data-warehouse;THX Cotton;2020-09-02;2020-09-03;08458ad6-3040-4231-82de-105add18abe8;false;2;2
3;Customer Cyprus Grass-roots;Saint Vincent and the Grenadines;2020-09-03;2020-09-02;c23cf957-376e-4d6e-bd47-610db6d161e9;false;3;3
4;Producer Practical;parse Electronics multi-byte;2020-09-02;2020-09-02;5a85b99b-0a60-4041-ba7b-de791dcfa915;false;4;4
5;Barbados Dollar Forges frictionless;Chicken Synchronised;2020-09-02;2020-09-02;663b757c-d73c-4982-8b2e-bc57a8082a16;false;5;5
6;Salad Rest;customized PCI Games;2020-09-02;2020-09-03;6464a472-7523-4d63-b816-a312a8020d2d;true;6;6
7;bandwidth fresh-thinking;magnetic Gloves;2020-09-03;2020-09-02;f389961e-a336-4da5-8810-7178626eb452;true;7;7
8;wireless Keyboard Borders;Fantastic Czech Koruna;2020-09-02;2020-09-02;14a72397-bb2f-4843-9c5f-15bbdd6d271d;false;8;8
9;Practical killer;Mouse;2020-09-02;2020-09-02;63a65db9-1380-4ad2-b6e8-8b61f51a8534;false;9;9
10;Decentralized Handcrafted Cotton Bike;Computers;2020-09-02;2020-09-02;e65da33b-8d05-4af3-9f68-cadf6563b84a;true;10;10
