id;name;vendor_selection;ceiling_price;estimated_price;bidding_status;joined_vendor_count;date_trx;document_no;document_action;document_status;approved;processed;date_approve;date_reject;rejected_reason;uid;active;ad_organization_id;cost_center_id;currency_id;document_type_id;reference_type_id;bidding_type_id;event_type_id;ad_user_id
1;Bacon Springs Outdoors;Yuan Renminbi;70974;56633;PNG Nebraska;6988;2021-02-10;Savings Account Home Loan Acco;Tasty;Borders Illi;false;false;2021-02-11;2021-02-11;application Tasty Rubber Pants real-time;7512e845-480d-4f17-8747-fac756bf83c9;true;1;1;1;1;1;1;1;1
2;Berkshire;Zimbabwe Dollar Assimilated redefine;3347;68280;whiteboard Plains Orchestrator;26104;2021-02-11;invoice;transition;Intranet;true;false;2021-02-10;2021-02-10;GB Concrete;ed9c09af-746d-40b7-8328-791a97b6de73;true;2;2;2;2;2;2;2;2
3;green interface;didactic;55942;64042;Ergonomic back up;60046;2021-02-10;Poland recontextualize;Georgia pa;European Uni;true;true;2021-02-10;2021-02-10;European Monetary Unit (E.M.U.-6);5c38722a-b659-430a-b886-67f1165fc3bc;false;3;3;3;3;3;3;3;3
4;Falls orchestration Architect;calculating;31366;95217;Toys De-engineered;8891;2021-02-11;China SMTP;mesh foreg;customer loy;true;true;2021-02-11;2021-02-10;Senior Global;afef8ee9-f4c6-42d0-881e-7cc720c00f06;false;4;4;4;4;4;4;4;4
5;mobile;vertical Pass Personal Loan Account;93822;40082;PNG Lead Jordanian Dinar;83808;2021-02-10;teal Paradigm Money Market Acc;Frozen pay;Personal Loa;false;true;2021-02-10;2021-02-10;JSON;f4dbee7c-bb5e-48bd-a87d-79991129d4e0;false;5;5;5;5;5;5;5;5
6;redundant Shoes;infrastructures Assurance;57320;84735;International;77693;2021-02-10;grow Senior Fresh;hack;payment;true;true;2021-02-10;2021-02-10;Maine Georgia withdrawal;472055a9-b722-4441-903d-44051f488c28;true;6;6;6;6;6;6;6;6
7;ADP Cote d'Ivoire South Dakota;Silver;60251;87166;New Taiwan Dollar;89998;2021-02-11;Tasty Cotton Cheese;Tasty sche;Up-sized enc;false;true;2021-02-10;2021-02-10;Practical Cotton Tuna;5bcf5e87-f374-4fa7-ae31-4f7a3c1e1f6e;true;7;7;7;7;7;7;7;7
8;turn-key extend;Specialist;36596;92400;Plastic web-enabled Music;73549;2021-02-11;Director;payment;Strategist C;false;false;2021-02-10;2021-02-10;programming;cd5ce04c-d48a-453d-95ea-55ff20f94348;false;8;8;8;8;8;8;8;8
9;turn-key;Washington;95580;99042;Identity e-business Berkshire;8002;2021-02-10;Industrial Toys;British In;eco-centric ;false;false;2021-02-10;2021-02-11;online open architecture Stand-alone;7eb14583-883a-47a2-8974-8da70589a310;false;9;9;9;9;9;9;9;9
10;Directives;orchid Beauty Chicken;86588;98591;Money Market Account 24 hour;28943;2021-02-11;Bacon;Cameroon o;Port time-fr;true;true;2021-02-10;2021-02-11;SMTP Cayman Islands;3cca756a-3452-4340-bb5c-6923021a6335;true;10;10;10;10;10;10;10;10
