id;description;receipt_no;invoice_no;invoice_date;tax_invoice;tax_date;total_lines;grand_total;foreign_grand_total;tax_amount;foreign_tax_amount;date_submit;date_acct;withholding_amt;invoice_ap;doc_type;pay_date;due_date;pay_amt;date_reject;date_approve;pay_status;date_trx;document_no;document_action;document_status;approved;processed;receipt_reversed;ap_reversed;uid;active;ad_organization_id;currency_id;match_po_currency_id;vendor_id
1;Sleek Guadeloupe;neural;SDD;2020-10-08;Table gold Portugal;2020-10-08;92070;53986;48868;90918;33642;2020-10-08;2020-10-08;55246;architectures compressing magenta;grey systemic;2020-10-08;2020-10-09;85176;2020-10-08;2020-10-09;instruction set;2020-10-08;Investor;teal;logistical;true;false;true;false;5eddf844-f9e3-4e3b-9874-e06751f18d6c;true;1;1;1;1
2;Nicaragua JBOD 6th generation;Bacon bus;Credit Card Account Group;2020-10-09;Incredible;2020-10-08;90136;74345;36873;10;77331;2020-10-09;2020-10-08;37708;maximize capacity;utilisation Home Loan Account Somoni;2020-10-08;2020-10-09;51182;2020-10-08;2020-10-08;Auto Loan Account XSS overriding;2020-10-09;deposit Junctions;Avon Wisco;metrics wi;true;true;true;false;d3c64906-55bc-41b1-888b-939d90678df9;true;2;2;2;2
3;Unbranded Wooden Gloves programming Mandatory;Team-oriented;Managed override lavender;2020-10-09;non-volatile;2020-10-09;79841;86149;76925;85115;6460;2020-10-09;2020-10-09;387;Intelligent Concrete Pants;Fantastic Soft Chair Shoes;2020-10-08;2020-10-08;71172;2020-10-08;2020-10-08;Fresh West Virginia;2020-10-08;olive panel;budgetary ;Agent;true;false;false;false;0b15173f-1886-480f-9dea-ee8768213ff5;false;3;3;3;3
4;invoice;PCI;Grocery;2020-10-09;Multi-lateral Borders;2020-10-08;81717;65731;21113;70601;88537;2020-10-09;2020-10-09;30713;Refined Metal Table auxiliary;models;2020-10-08;2020-10-08;86532;2020-10-08;2020-10-09;Configuration 3rd generation;2020-10-08;JBOD mobile;alarm Intr;navigating;true;false;false;false;8ac47ddb-8a27-4887-b36c-ff0e6000af24;true;4;4;4;4
5;Swedish Krona;backing up;Gloves Borders;2020-10-08;Rhode Island;2020-10-08;60703;48875;83839;74406;72257;2020-10-09;2020-10-09;23513;Harbors customer loyalty;navigate;2020-10-09;2020-10-08;94957;2020-10-08;2020-10-08;override;2020-10-08;silver;Home 4th g;Distribute;false;true;true;true;69225a9e-165d-4a3d-b6e6-6844a9fbabcb;false;5;5;5;5
6;circuit digital calculate;Falkland Islands Pou;application Auto Loan Account;2020-10-08;Credit Card Account;2020-10-08;37444;60960;95450;68914;72407;2020-10-08;2020-10-08;85480;Handcrafted Frozen Pizza Fantastic Plastic Chips reboot;bottom-line;2020-10-09;2020-10-08;22581;2020-10-09;2020-10-08;Configuration;2020-10-08;Pa'anga Small Wooden Towels;Advanced;Soft Cotto;true;true;false;false;d0aa224c-daa9-48cf-9fd5-2bac7129193d;true;6;6;6;6
7;digital digital withdrawal;connecting;clear-thinking Division;2020-10-09;Bedfordshire Frozen;2020-10-08;23268;85561;4001;95271;7350;2020-10-08;2020-10-09;69126;Papua New Guinea;access;2020-10-09;2020-10-09;43160;2020-10-09;2020-10-08;Fish;2020-10-08;Borders navigate Jewelery;primary Ne;granular;true;true;false;true;58913254-2158-4042-bfaa-34d33450820e;true;7;7;7;7
8;productize;Accounts morph;regional;2020-10-08;Borders;2020-10-09;42997;36654;35663;50779;12588;2020-10-08;2020-10-09;92026;Incredible fuchsia Guyana;Chips index Buckinghamshire;2020-10-08;2020-10-09;62079;2020-10-08;2020-10-09;Checking Account Outdoors front-end;2020-10-09;Metal Solutions Intelligent;Street Don;policy;true;true;false;false;092ea584-5987-4ff8-bfed-047dd7bd1825;true;8;8;8;8
9;Rustic Somali Shilling;ivory instruction se;Plastic Avon enterprise;2020-10-09;visionary Rhode Island;2020-10-09;92773;46219;23430;67348;95760;2020-10-08;2020-10-09;66906;pink Money Market Account process improvement;Idaho Avon Keys;2020-10-08;2020-10-08;29228;2020-10-09;2020-10-09;Future;2020-10-08;solid state payment;deposit;Home Forks;false;false;true;false;e6759c53-d6bc-4cd6-9606-2686c952f507;true;9;9;9;9
10;Total Villages Home Loan Account;Seamless;Health;2020-10-09;Functionality sticky withdrawal;2020-10-08;15641;68159;99111;1676;78253;2020-10-09;2020-10-09;17486;bluetooth;Rhode Island;2020-10-08;2020-10-08;78545;2020-10-09;2020-10-08;Lead Investment Account Incredible;2020-10-09;Jamaican Dollar pink Pike;Idaho Usab;architectu;false;true;false;false;916fb63d-f50c-42d2-8787-15bd4026e36f;true;10;10;10;10
