id;name;code;with_region;phone_code;description;uid;active;currency_id;ad_organization_id
1;Saint Helena Metrics Botswana;"SL";true;Auto Loan Account FTP;Metal incentivize;af325658-e8ff-4938-ad92-1e5f93587913;true;1;1
2;hacking ROI;"PT";true;synthesize firewall disintermediate;maroon turquoise;e8b36afd-bfcd-410f-8480-51b013979872;true;2;2
3;primary;"MQ";true;open-source;Strategist schemas Product;ebb7fb88-a705-4b29-83ed-86cf9c488b71;true;3;3
4;Divide Zambian Kwacha uniform;"OP";true;Handmade Iraqi Dinar utilisation;Tasty Steel Ball Optimization Object-based;2aa25ec3-7f58-4607-9a56-06e95199b3d9;false;4;4
5;orchid North Dakota;"EQ";true;Small Creative;National connect transitional;99f06d41-0480-415c-ac31-aba448161766;true;5;5
6;Practical bleeding-edge;"WW";true;Points Metal;invoice Salad;73224d77-2d18-4811-a317-b51a85a89eef;true;6;6
7;projection Bedfordshire vertical;"MY";false;pink;Administrator;70eef4c6-02be-40a7-b5e7-4746f319a360;true;7;7
8;Balanced programming;"NS";true;redundant Metrics;driver Officer Sausages;9caa9864-b777-498f-a048-6418afd141e3;true;8;8
9;evolve algorithm;"PX";true;models;Buckinghamshire withdrawal;0453c92e-5f36-4a82-9e96-a3e47446e744;false;9;9
10;Functionality partnerships;"TU";false;Officer Marketing;China reinvent Rustic;5542863f-a203-4e03-a299-9296489d6708;false;10;10
