id;code;locator_type;aisle;bin;level;uid;active;ad_organization_id;warehouse_id
1;COM National card;USB;initiatives;Rubber;generate;769436fd-b171-41fb-af8e-cb49791f4441;false;1;1
2;lavender;Regional withdrawal;Metal;standardization;Architect;78aab3e8-ff7c-423b-a4bc-ff095cb01d0b;false;2;2
3;Berkshire Credit Card Account copying;Interactions matrix bricks-and-clicks;Solutions index;Iceland circuit Borders;deposit;e1bb0c4b-3090-4a4f-ac62-2cab58a5f696;true;3;3
4;hard drive;American Samoa whiteboard Web;copy deposit;Technician;mindshare calculating;b4212510-007c-4f91-9ccf-d18756952787;true;4;4
5;even-keeled Hawaii;deposit quantifying Developer;methodical sky blue;Executive encompassing transmitting;paradigms;9d90a59c-70d3-486d-b58a-dc5d571b31c9;true;5;5
6;Personal Loan Account Tunnel;Way Assurance;enterprise Analyst;compress magenta;backing up mobile;8b0d28aa-d69a-4bcf-95bd-0a2cf732b2ab;false;6;6
7;invoice Beauty;mobile;Strategist New York Cotton;pixel withdrawal;generating open-source;cb4f5d05-dafb-4641-b7fe-a1ec58abb439;false;7;7
8;Won encryption back-end;Customizable;cross-platform azure Human;Berkshire;Jewelery compressing Avon;80e77bb9-1bc9-45cc-a17b-3581c09db2ef;true;8;8
9;HTTP payment Rustic Rubber Shoes;models bandwidth-monitored engage;navigating;copy intuitive Product;gold HDD Administrator;44422658-7c13-46f1-868b-9bfdb4e1765f;false;9;9
10;Nebraska digital;feed;Analyst Operations;Shoes Director;redundant optimize Sports;39021ecf-2d16-4f7f-89ec-197309fe39df;true;10;10
