id;tax_period;trax_code;status_code;doc_code;year;return_doc_type;rep_ser_no;tax_exp_code;date_ssp;uid;active;ad_organization_id;currency_id;tax_category_id;cost_center_id
1;23772;Electronics Enhanced extranet;Slovenia Investment Account;pixel Cambridgeshire;19036;back-end matrix panel;olive forecast;lavender Metal Refined Steel Pants;2020-11-22;dcd68cbd-0942-4651-9cc2-a847610b4f08;true;1;1;1;1
2;86289;override;Center infomediaries violet;Fiji Baby Incredible Granite Gloves;69322;Concrete;platforms salmon;Music Money Market Account Tactics;2020-11-22;6801132b-0737-4145-b254-39c76499497e;false;2;2;2;2
3;96820;deposit;system Solomon Islands Dollar;copy Money Market Account;67219;transmitter Credit Card Account;Manager;Personal Loan Account dynamic Gorgeous Granite Car;2020-11-22;cab85b8f-7855-4a6c-8328-5606c06335e0;false;3;3;3;3
4;41980;interface responsive;Granite Supervisor;Intelligent wireless;56450;metrics;Mobility lime e-tailers;Handmade Wooden Ball Berkshire Rustic Wooden Gloves;2020-11-22;0dafde60-9361-4c6c-91cf-5dbb1fcdf19e;true;4;4;4;4
5;10847;Venezuela;Dobra responsive;hard drive convergence;20267;silver;transmit;markets orchestrate Frozen;2020-11-22;5696dfbd-9c13-41f3-b9e6-970a22380172;false;5;5;5;5
6;14559;New York Fresh capacitor;maroon Hat;orchid Generic Cotton Bacon;96811;Orchestrator Soap;Buckinghamshire RSS;Compatible;2020-11-23;134a7a53-4d12-4619-83b4-be38f80499ae;false;6;6;6;6
7;39271;Outdoors;deposit front-end;web-readiness Incredible Steel Chicken Delaware;6263;Implementation;Shirt haptic;Director Assistant Product;2020-11-22;e4f048a3-9eff-4aeb-9908-c49c36041017;true;7;7;7;7
8;9170;Gorgeous Soft Rustic Steel Car;installation Soft;Platinum;56633;Applications Intelligent Wooden Computer;Bedfordshire;deposit withdrawal Investment Account;2020-11-22;3bc89c08-2892-4bf4-a9f7-d34b310fb5e0;true;8;8;8;8
9;96374;impactful backing up Mexican Peso Mexican Unidad de Inversion (UDI);PCI deploy end-to-end;Gold convergence United States of America;7508;Illinois;initiatives;redundant PNG;2020-11-22;cafe3efd-b9bf-4a95-b332-9eac3e4aa886;true;9;9;9;9
10;77813;e-business;Investment Account;XML transmitter;24911;port Ergonomic;B2C Music invoice;Key withdrawal ubiquitous;2020-11-22;aba9f8dd-1a7b-4f11-bdd1-34347f36fe09;false;10;10;10;10
