id;name;description;uid;active;ad_organization_id
1;Dynamic matrix;discrete Metrics networks;ea007bf7-0192-4aab-bb40-1f313169be51;true;1
2;Electronics;Implementation;ccdfc08b-01e4-4789-ba74-b21cd3ccd20d;false;2
3;backing up;Barbados Dollar Bahamian Dollar wireless;fdcb4bfd-68a2-4ab1-8d7b-d5fb2bf9e37b;false;3
4;Checking Account connecting;networks Dynamic clicks-and-mortar;1552dcf3-6315-49df-8057-4a4177d3e66b;true;4
5;Fantastic Steel Bacon Computer;Morocco Borders Fully-configurable;89a13e37-ae5f-433a-93b3-83015d6012d5;false;5
6;open-source enhance;Jersey Licensed Frozen Computer Tasty;ddfeba7e-5ff7-4380-bc10-287b3df8a57a;true;6
7;mobile Profit-focused;extensible Shores Regional;147090f0-8a1f-4001-8f2f-ab37291edf98;true;7
8;International Markets out-of-t;reboot;a46f6c89-deea-4b34-b8fa-a17f4182bf29;false;8
9;feed Bedfordshire teal;solid state Kids Congolese Franc;dfe271cc-041e-4948-b148-af85d446808c;true;9
10;bypass markets;Strategist Agent Tuna;7d1a253c-f0d6-4ae3-af88-086541e8ae42;false;10
