id;uid;name;code;description;active
1;04630b68-2f2f-4a1c-86c1-d2584b94c174;dot-com;Belize heuristic holistic;Movies;false
2;b7fd672c-85a2-4510-91cc-008a31df29e0;Rubber;local Applications Mountain;Central;true
3;8bba139e-a898-4873-a9ff-b3bae1b0d2ac;Ergonomic Customer convergence;policy grey Supervisor;hacking;true
4;85853756-019a-4489-9f5c-f013a36a65e3;Michigan;backing up;open-source e-business Implementation;true
5;d0fa5a2f-e025-41d5-b4b9-d27aad479cbc;Assistant;Metal;monetize withdrawal Home Loan Account;true
6;5999d513-ba99-42f3-ab4f-2d76c59011f5;Frozen architect;Awesome Concrete Keyboard Chair Keyboard;architecture Directives;true
7;f08c55ff-2c08-45de-9c94-59a37a8e0b59;leverage;back up;hack;false
8;f50b447a-66cf-41b3-9d06-7429d37bb9c7;Computers Turks and Caicos Islands knowledge user;Officer User-friendly;transparent purple Dynamic;true
9;7323cfc8-b849-4fdc-b6af-14439d136c1b;human-resource target;Home Loan Account;Frozen;true
10;46b805a7-da17-4d98-adff-4c43f5976337;Borders utilisation;Synergistic Cote d'Ivoire;Credit Card Account payment bypass;false
