id;uid;name;description;icon_name;tree_view;target_endpoint;single_row;deletable;insertable;writable;display_logic;read_only_logic;filter_query;order_query;tab_sequence;active;ad_organization_id;ad_table_id;ad_window_id
1;f9943fb0-6ac9-4cc3-a99e-72981c03cb4a;red;calculate Operations;Divide optical Personal Loan Account;false;Cheese;true;false;true;false;tan Consultant;Cloned Metrics Generic;primary Pennsylvania Soft;Berkshire;94586;false;1;1;1
2;481df9ec-75e1-4738-9abb-3a25fcc29e3f;Savings Account magenta Small;Lead Granite Berkshire;Computer firewall;true;Sleek Plastic Shirt;false;false;true;true;Intelligent;Licensed Creative PCI;National port Personal Loan Account;customized cross-platform hacking;78974;false;2;2;2
3;1fda0723-8709-46cf-bdaf-2bd40a45288d;Forge;multi-byte 24/365 Architect;collaborative navigating SMTP;true;Bulgaria copying Open-architected;true;false;true;false;Orchestrator Tuna;Massachusetts Computer Health;maroon neural;Well Steel;91758;false;3;3;3
4;bcd57dec-34fe-4365-9ed9-1710e0104b3b;e-tailers invoice Alley;Kentucky index;Practical frictionless;true;RSS Libyan Dinar Unbranded Metal Soap;false;false;true;true;Operations JBOD;Pizza;Facilitator Lead;payment;92379;true;4;4;4
5;bf9e989b-6ccb-4f2e-a038-7cd3e127a84b;incubate primary Soap;cyan Pants;experiences throughput;true;New Zealand Dollar approach;false;true;true;false;complexity Stravenue Adaptive;Quality-focused;Jewelery;Branding;69554;true;5;5;5
6;2db51c30-668c-4ab2-b898-e0b2d2f22151;Senior Vision-oriented invoice;copy Division Skyway;Fresh;true;Illinois impactful sky blue;false;false;false;true;architect alliance;Via Universal Sleek Steel Car;Director;feed;64628;false;6;6;6
7;f05b13d0-24ad-47b0-95ce-2708159d62b0;Rustic Outdoors Research;Generic Buckinghamshire National;relationships strategize Lebanon;false;Avon USB;false;false;true;true;well-modulated Generic Steel Gloves;Incredible Personal Loan Account Electronics;initiatives Cambridgeshire;Generic Computers technologies;24818;false;7;7;7
8;b0d78c81-173a-4fa6-87d3-1ae51e6f12ba;magenta;generate transition Small;Montana;false;transmit Cape Verde override;true;false;true;true;Games Agent;deposit Assistant bandwidth;Sausages Handmade Plastic Car;Auto Loan Account;76296;true;8;8;8
9;20259c44-4dbc-4b47-b08d-fc4d5958ed4c;cross-platform revolutionary grow;Pizza payment Rustic;orchestrate Baby Practical Cotton Gloves;false;Director Bedfordshire;false;false;false;false;Books;Czech Republic Technician Rubber;payment;reboot;23758;false;9;9;9
10;136d7262-143b-4bcb-9528-ce6cedab20f3;circuit Communications;Toys;plum Supervisor Product;true;West Virginia Kentucky;false;false;false;false;invoice users;multi-byte front-end;coherent cyan;Decentralized;39993;true;10;10;10
