id;code;name;description;is_default;uid;active;ad_organization_id
1;definition;turquoise Micronesia Cheese;generating Plastic;true;b6207a6c-b02f-4118-84ce-6c8efc290fac;false;1
2;turquoise;withdrawal;parallelism Beauty;false;7aefa8b3-d539-400f-9675-7ba313c655ce;false;2
3;Home Loan Account projection;Auto Loan Account Credit Card Account Ohio;Open-source;false;e7481bfb-41f6-433c-b1c9-2c2757cc507d;true;3
4;payment Gloves haptic;Nepalese Rupee Virgin Islands, U.S.;Peru bypass;true;ee07edb2-75d9-4658-8b6f-df9174ac39bd;false;4
5;Avon Movies;Implemented;Borders integrate zero defect;true;4872967d-a3d5-4f49-9027-56c5ab982f01;false;5
6;Locks;XML Licensed;archive;true;022b7acd-caef-4813-9940-a5de2cfb852a;true;6
7;zero defect;Accounts;Kwanza homogeneous;true;83a4932a-e361-4cdd-8c4f-658190441a8f;false;7
8;transmit;EXE;end-to-end;false;589e6658-8aea-40fa-9331-fb30f4120ca3;false;8
9;moderator Persistent;Buckinghamshire;Metal;false;c6a34029-f2ee-4464-9da9-fd7ce1710e30;true;9
10;Assistant Gorgeous Granite Sausages Cambridgeshire;CSS Belarussian Ruble Cambridgeshire;navigate;true;9bff43c7-6279-4c52-9051-3c10026b1428;false;10
