id;name;uid;active;ad_organization_id
1;Facilitator;80a2607f-eb59-4ab0-a209-a3b6aee6fa7a;true;1
2;benchmark Soap;0af1bb47-715b-4ae3-820c-59ebfcf5b761;true;2
3;robust back-end;91018df9-99f3-4c86-bff7-3d1e2ddb56b4;true;3
4;Frozen payment;2e499cdd-c7f2-47a2-8a39-9ef757e43124;false;4
5;Soap;b37ca9f5-0543-4026-9f37-fe32b8439625;true;5
6;Books Pula revolutionary;1b6f5d6c-e428-4419-b9a1-472cabf34779;false;6
7;Extended scale;dc22ef71-a098-475b-b8ea-814a7bf0529d;false;7
8;online quantifying Kwanza;7297c934-a72f-46cf-8ad2-7abecf9159b9;true;8
9;Bahamian Dollar Intelligent Soft Tuna;8d05fd4f-97e6-4acd-95e8-d86488c9cbf9;false;9
10;Cotton Tenge;cd8f62cc-50de-4eb4-b758-5856e93c8c81;false;10
