id;code;name;type;description;uid;active;ad_organization_id
1;reintermediate vortals withdrawal;input;Riel Avon;Team-oriented;c21fc168-9083-45c5-a10a-c3cefc5d43f5;false;1
2;sensor;Cheese;bypassing;Specialist District;965c60a9-0eb5-4ecd-a996-6335c7d8d69a;false;2
3;user-centric;Kids Wisconsin;North Dakota Unbranded Cotton Pants Practical Frozen Gloves;Credit Card Account;07e48b17-798e-4030-845a-c71af65737e1;true;3
4;Clothing heuristic dynamic;Kids Lead;generate;withdrawal Berkshire system engine;dbfdbe22-343e-418f-a008-8f40a463e377;true;4
5;Practical Soft Keyboard American Samoa Borders;multi-tasking transmit International;Bedfordshire Cayman Islands Dollar Home Loan Account;Baht Frozen Ergonomic;04fb3657-84bd-457b-ae30-08fad219775a;true;5
6;Buckinghamshire SSL Mouse;supply-chains Forks SDD;monitoring Incredible Concrete Salad;compress;6333abe8-c8a4-4738-b757-b08323621795;false;6
7;Paraguay;platforms Baby backing up;tan aggregate task-force;Avon;25143bc4-9502-4300-b42f-749016a5f132;true;7
8;Handcrafted Plastic Towels;Somoni Handcrafted Frozen Towels;workforce Investment Account impactful;auxiliary;f2e650eb-cc90-44bf-a1dd-7d52e8c4e13c;true;8
9;Borders Kazakhstan;Optimization Markets PNG;Intelligent Pizza;unleash;186bec31-531c-404c-b873-286bcfbf938e;true;9
10;optimize synergy;systemic Beauty British Indian Ocean Territory (Chagos Archipelago);Licensed Soft Chair;leverage Human;e002ee23-323e-4513-a543-42260a9a94f4;true;10
