id;name;description;short_description;sku;height;length;width;weight;price;expired_date;pre_order;pre_order_duration;warranty;sold;stock_available;document_action;document_status;approved;processed;rejected_reason;uid;active;ad_organization_id;c_document_type_id;c_currency_id;c_uom_id;c_vendor_id;m_brand_id;m_product_id
1;Michigan;Minnesota Czech Republic Expanded;payment;Steel Brand ROI;93703;12334;668;28041;41820;2021-01-11;true;47002;invoice;true;24683;reintermed;override;false;false;Managed drive payment;7e09edb8-5616-4937-9056-1f1555cb1fc0;false;1;1;1;1;1;1;1
2;pink;Lek;payment;Pants;77829;80408;97984;87222;67951;2021-01-11;false;27763;North Carolina Australian Dollar;false;16358;Directives;Lesotho hi;false;true;parsing Configuration;0441467d-bf25-4523-bb97-77849dc333b4;true;2;2;2;2;2;2;2
3;Grocery;Shore Refined Indian Rupee Ngultrum;action-items Lilangeni Refined;Handmade Concrete Soap SMS;47604;82583;50587;33915;54760;2021-01-12;true;88358;backing up Executive;false;15042;calculate ;Keyboard;false;false;Decentralized;d3c24dcd-652e-4e28-9c4b-4dfc261d8b66;true;3;3;3;3;3;3;3
4;Handmade Metal Chicken scale bus;Knoll Manager Small Rubber Sausages;Islands parsing Lodge;web services parsing indexing;32817;26592;56484;66300;25192;2021-01-11;false;49971;Investment Account bandwidth;false;87912;Berkshire ;bypassing ;true;false;Manors RSS;474953d6-ef32-45f4-8bf0-63050d51cfce;false;4;4;4;4;4;4;4
5;convergence Identity;sensor;back-end interactive;B2B;39780;41717;65887;97925;62741;2021-01-12;true;34931;invoice;false;6215;Serbian Di;pink;true;false;Berkshire;2d01d22b-b8e3-4cb5-9d45-67d680a79453;true;5;5;5;5;5;5;5
6;tan Response;bandwidth-monitored iterate;HDD;contextually-based;6548;20911;28290;26523;36696;2021-01-11;true;40166;system Movies primary;false;71888;Books viol;invoice;true;false;back up;239b8ae7-dcfe-4b12-af40-ce8fff46cfdf;true;6;6;6;6;6;6;6
7;Regional Borders Licensed Fresh Cheese;Soap Valley portal;modular Washington Handcrafted;Wooden reboot;64739;65102;4999;23086;74550;2021-01-11;true;17562;Dynamic;false;39083;indigo;haptic pro;false;false;Organized lavender override;2e6e234e-3ad6-4218-8e0e-2e15f96b9c12;false;7;7;7;7;7;7;7
8;compress vortals Mobility;hacking;SMS;US Dollar Handcrafted Wooden Shirt;84603;74032;90061;81115;30617;2021-01-11;true;30438;Re-engineered installation;true;96693;system sup;Branding T;true;false;Producer reboot magenta;a97ccc40-66b3-4863-a887-c99e04a5e061;true;8;8;8;8;8;8;8
9;human-resource;Lead;Berkshire;generate reintermediate bypass;23410;45961;98030;27829;16346;2021-01-11;true;2796;Assistant Producer;true;5168;impactful ;engage;true;false;focus group interface silver;e172ee21-33f3-4102-af73-8e68e01f3ac6;false;9;9;9;9;9;9;9
10;lime Cheese Berkshire;front-end Keyboard 6th generation;explicit B2B;architectures;3330;29812;70875;22200;77490;2021-01-11;false;98392;plum Oregon Tennessee;true;79825;Robust;Pants;true;true;engineer port cohesive;42fa5b94-d232-46b7-beb1-82e9a2752c6b;false;10;10;10;10;10;10;10
