id;street_address;postal_code;city;state_province;country_id
1;Secured productize;5;Lake Kaleb;payment olive Ghana;1
2;Pants;5;Millsland;back-end green virtual;2
3;e-enable feed;5;Wilfredland;Forward Sports Falkland Islands (Malvinas);3
4;Gold index;5;Desireefort;tangible e-markets Bike;4
5;Representative Car Granite;5;Gibsontown;Savings Account pink Steel;5
6;COM Concrete sky blue;5;Ruthefort;SDD;6
7;European Unit of Account 17(E.U.A.-17) auxiliary parsing;5;Karlshire;Plastic Small Soft Pizza;7
8;extend Fully-configurable e-services;5;Legrosstad;Business-focused;8
9;RAM Money Market Account;5;Adeliamouth;solutions;9
10;invoice;5;Lake Ubaldoborough;infomediaries Martinique turn-key;10
