id;name;code;description;rate;valid_from;transaction_type;uid;active;ad_organization_id;tax_category_id
1;grid-enabled invoice;Senior Nauru Ergonomic;Creative matrix;5064;2020-08-17;BOTH;2254539f-30de-4211-932e-1499db7982d4;true;1;1
2;Liechtenstein;card Drive;Brazil;13413;2020-08-17;PURCHASE;dc4b513a-b328-4345-9d52-50f7f4954f36;false;2;2
3;Zambian Kwacha incentivize relationships;Mongolia Rustic Concrete Bike;indexing;64279;2020-08-17;SALES;443f2bad-cb75-4474-ba79-bdeceb2ad343;true;3;3
4;Hat Ergonomic;hacking Customizable;Baby Louisiana 24/7;53521;2020-08-17;SALES;ace424c7-5504-4357-b1a7-663f929889d9;false;4;4
5;RAM Canadian Dollar Avon;redundant;invoice;33091;2020-08-17;PURCHASE;659b0ee1-d448-4471-a774-9c9563ca6ba7;true;5;5
6;Throughway Practical;Italy;Cuba;12384;2020-08-16;BOTH;e5778600-2660-4100-9442-39afe3923092;true;6;6
7;bus cross-platform web-readiness;dedicated Practical Response;Home Loan Account;57177;2020-08-16;PURCHASE;206babd1-c8db-44a0-81df-c84dcf96a726;true;7;7
8;service-desk;systemic Pa'anga Mobility;Tasty Steel Gloves Handmade Fresh Soap;70364;2020-08-16;PURCHASE;35bed5f7-64fd-4320-a31f-5523996938f2;false;8;8
9;redundant empower Handmade;Practical Granite Mouse utiliz;lavender turquoise;87665;2020-08-17;BOTH;e491c587-ec71-4ac6-9511-3a5baee1cd88;false;9;9
10;invoice efficient;override;matrix deposit;32972;2020-08-17;PURCHASE;a5f4fbc3-1d7f-4671-8de4-19531c00935a;false;10;10
