id;uid;active;source_field;target_name;ad_organization_id;callout_id
1;fcfc026f-79fd-4a11-890f-7d659aae4dad;true;JBOD;Sleek back-end;1;1
2;99524660-cae2-4e1c-967a-440316b082c2;true;withdrawal;back-end architect;2;2
3;5557b6b5-167f-4386-b7d2-ea230b11cda9;true;Optional open-source Licensed;portals Money Market Account;3;3
4;3115bb80-917d-4c4f-b021-ef6740729a0a;true;synthesize Steel;Vision-oriented;4;4
5;9cbfbee2-051a-4589-91b1-54f007aa857d;false;indigo;Optimization;5;5
6;9d67b2b9-5fca-4828-9f8b-918f5064b46f;false;invoice Grenada Practical Plas;cutting-edge transition digita;6;6
7;a19ce5c9-1036-47c1-a85a-190ad61544cf;true;context-sensitive;European Unit of Account 9(E.U;7;7
8;3d4993f4-279a-4302-bbe5-f070bc470b4b;true;Wisconsin;deposit utilisation Tennessee;8;8
9;3f17d790-b96e-4474-a5db-01a15beb96e0;true;Latvian Lats Villages Future;models tan;9;9
10;bdcdd3d1-5bd1-4d0d-aeac-80d04162ad37;false;e-services;Focused;10;10
