id;notes;evaluation;average_score;pass_fail;requirement;uid;active;ad_organization_id
1;deposit;Money Market Account Wisconsin superstructure;28202;pink;benchmark Pants;22c9e769-bd45-4844-9e39-e57a011a3661;true;1
2;Home Loan Account;Camp;67180;deposit Internal navigate;orange;9cb3255b-757c-4db4-aab4-b5879d619d15;false;2
3;Optimization;1080p deliverables;31470;alliance Public-key Generic;Sierra Leone;96da405a-c4cc-4487-914b-88399ef9c926;true;3
4;Michigan;neural Customizable JBOD;51848;overriding;ROI Silver;342caf2d-9ed1-47a7-b7f4-0021108f90b6;true;4
5;Plain Proactive Innovative;impactful Armenia;70447;FTP Canyon;Cambridgeshire Solomon Islands Dollar Coordinator;1e6ed514-b99a-41d5-a889-5fe455f5a5db;false;5
6;Mobility Fall;innovate niches Avon;76547;synergize solid state niches;Future pixel Paradigm;1aea6556-5e75-4ebd-98c5-3399d0cacf14;true;6
7;web services Gloves Small Fresh Tuna;Generic B2C;84388;installation;Music;c723fd97-aa5a-4568-80a9-fffaf7a31934;true;7
8;Unbranded Wooden Pizza;incubate Usability;11049;leading-edge Florida United Arab Emirates;Direct;7bec8dc2-a917-45ab-92d5-8e07b76a8a55;true;8
9;index;Gorgeous Frozen Soap Awesome Plastic Car;94477;virtual;Graphical User Interface;65b05a23-4c1d-4d09-9615-215954113d1a;false;9
10;Programmable framework;Nevada compress;8377;redundant Concrete Ergonomic Steel Car;Refined Customizable green;8bccd492-4e00-4cd7-808a-904d20d14fee;true;10
