id;uid;active;name;description;type;ad_organization_id;field_id
1;8bdda712-95f2-4793-a2e8-e75ccc790998;true;Quality Hryvnia;bypassing Guinea-Bissau;mobile Assistan;1;1
2;b74c437f-dfb3-4471-b8ff-7a91f3ac076b;true;copy mindshare;world-class;Unbranded Handm;2;2
3;f83b19d0-ef7e-4345-9c81-580c2185a20c;true;neural Isle of Man;Chief;Kyat firewall h;3;3
4;bb0084d5-dfcb-4ffb-9069-9ca83a8967f1;false;capacitor;application Nevada Frozen;1080p;4;4
5;f6a0c3bc-ac22-4ff1-ba03-5387e4f5b0f7;true;Checking Account solid state;Rustic Granite Tuna Intelligent interface;bricks-and-clic;5;5
6;84ab7e87-5ce6-4d30-ba4c-287f68c8c215;true;Handmade Frozen Keyboard;Internal;interactive Too;6;6
7;569c65e3-76ce-4e78-8e5e-f7df347a6abb;true;override;Buckinghamshire Quality Baby;Orchestrator pr;7;7
8;fec1e042-97e8-484d-9225-84fd94acf99e;true;Handmade Wooden Chair;orchestration;CSS backing up ;8;8
9;6e541671-8062-45dd-8230-2b1262ff2845;true;Extensions rich;Granite;Buckinghamshire;9;9
10;e74df9b1-7d98-46b5-855f-a9c4d7c45c45;true;Tuna THX;vortals;Lari service-de;10;10
