id;name;description;use_ban_code;ban_code;purpose;for_price_confirmation;start_date;expiration_date;evaluation_period;date_trx;document_no;document_action;document_status;approved;processed;date_approve;date_reject;rejected_reason;price;price_proposed;exp_mail_receipt;notice_period;reminder_sent;email_notification;term_type;hierarchical_type;uid;active;ad_organization_id;bidding_id;cost_center_id;document_type_id;pic_id;vendor_id
1;generating Group;HDD sensor;true;Technician Car dedicated;reboot;false;2021-06-18;2021-06-18;fault-tolerant;2021-06-18T05:27:11;Unbranded Metal Hat;withdrawal;Home Loan Ac;false;true;2021-06-17T12:42:04;2021-06-18T00:10:17;facilitate Montserrat;75200;73110;auxiliary;Home Loan Account SQL Money Market Account;91000;43920;Garden hard drive;Sleek calculate Customer;8176eae8-9e91-4416-a50e-3f6e9d2ed9eb;true;1;1;1;1;1;1
2;bandwidth Ergonomic;Cotton deposit;true;Egypt;platforms;false;2021-06-17;2021-06-18;green transmit infomediaries;2021-06-17T21:02:04;parse Automotive;multi-stat;Plain genera;false;true;2021-06-17T16:58:22;2021-06-17T22:30:54;Bedfordshire calculating Cotton;84174;22335;Engineer Grocery;Direct Frozen Checking Account;7148;79643;Multi-lateral Cape Verde Escudo Optimization;Investment Account withdrawal protocol;82b2623f-9fc0-4edd-b5d7-4df1c749eb83;false;2;2;2;2;2;2
3;Glen Administrator orange;e-tailers;false;AGP Automotive web-readiness;envisioneer deposit upward-trending;false;2021-06-18;2021-06-17;driver;2021-06-17T16:48:57;Personal Loan Account Iowa;Global ove;applications;true;false;2021-06-17T23:28:29;2021-06-17T23:19:09;Global Tasty;40551;81804;synergies Unbranded Vatu;bricks-and-clicks Designer Yuan Renminbi;28528;32323;Intelligent Steel Pants Checking Account Zambia;Bacon Legacy;0e673280-f5a9-40eb-8cf6-2a3967cb4771;true;3;3;3;3;3;3
4;Business-focused Bike hacking;Money Market Account parse ability;false;National;Analyst synthesizing Borders;false;2021-06-17;2021-06-18;experiences;2021-06-17T12:55:40;killer needs-based payment;Refined Co;Wooden drive;true;true;2021-06-17T19:58:24;2021-06-18T04:30:24;generate;72039;78824;SQL schemas Consultant;copy Credit Card Account;90914;8956;intermediate Supervisor synthesizing;holistic partnerships;6f33bc26-a009-4179-bb3e-22e73ddcf6e9;false;4;4;4;4;4;4
5;Progressive Ball Holy See (Vatican City State);Pitcairn Islands;false;XML virtual Bedfordshire;deliver 1080p;true;2021-06-17;2021-06-17;North Dakota Expressway Pants;2021-06-18T08:55:24;Liaison navigate;wireless S;Seamless Tec;false;true;2021-06-17T19:47:33;2021-06-18T04:34:16;Decentralized;54898;85192;overriding Berkshire target;transmitting Toys Barbados Dollar;7342;233;portal;eyeballs deposit Future;d70ef2f1-61e0-4997-ac82-9dd37d057eb2;true;5;5;5;5;5;5
6;Solutions;Usability;true;matrix Metal digital;Tuna quantifying;true;2021-06-18;2021-06-18;Louisiana transmitting;2021-06-17T10:27:05;Credit Card Account Reunion;Refined Gr;Investment A;false;true;2021-06-18T04:17:15;2021-06-18T03:05:35;transmitting;83233;50273;website program Switzerland;Grass-roots;87528;73730;SSL synergistic;feed;663d3607-87e9-431b-b47b-2ba8c87423e4;false;6;6;6;6;6;6
7;indexing;Generic haptic Keyboard;true;neural auxiliary payment;silver sky blue;true;2021-06-17;2021-06-18;Licensed;2021-06-18T09:09:03;Intelligent;Fantastic ;French Guian;true;false;2021-06-17T14:54:43;2021-06-17T16:34:59;zero administration frictionless;37450;30995;Lithuanian Litas PCI;quantify Principal driver;34626;9751;Ethiopia;navigating Idaho Associate;0e5c4154-a9cf-4e84-8fca-fbbed6c77c55;true;7;7;7;7;7;7
8;THX Engineer;orchestration Garden;true;Tenge Quality GB;Human generate Yuan Renminbi;false;2021-06-17;2021-06-17;Analyst Rhode Island Handmade;2021-06-17T21:33:53;Soft;Handmade n;engage Point;false;true;2021-06-17T15:06:47;2021-06-17T21:59:29;New Hampshire;40928;47910;Home Loan Account Tennessee Yemeni Rial;Branch Home Loan Account;32860;20973;Keyboard;deliverables Cook Islands;3aeb90e1-033f-42a0-b4ab-b56e69fb20e4;true;8;8;8;8;8;8
9;Algeria Outdoors payment;definition;false;copy;panel maximized;true;2021-06-17;2021-06-18;transmitter Practical Frozen Chips overriding;2021-06-18T07:33:00;Concrete;South Dako;Pants bi-dir;false;false;2021-06-18T08:59:11;2021-06-17T19:07:25;CSS Senior cross-platform;95018;20955;yellow FTP Gorgeous;Customer;22103;94166;Enhanced Soft;quantifying Practical Intelligent Cotton Ball;8c803338-1977-4c73-b672-4860c5948c47;false;9;9;9;9;9;9
10;invoice;ability Forward reintermediate;true;streamline Home Loan Account;Automotive;false;2021-06-17;2021-06-17;Public-key application Awesome;2021-06-17T17:31:28;bypass Park Keyboard;withdrawal;Accounts Bur;true;false;2021-06-18T05:47:47;2021-06-17T23:41:52;Sleek Fresh Mouse tangible;42034;43136;brand Bedfordshire;multi-tasking THX Wyoming;72252;9768;transmitting Serbian Dinar Afghani;communities Electronics;16eae73b-c12f-49e3-ace8-dabe13fd8980;false;10;10;10;10;10;10
