id;code;name;description;service_name;rest_api_endpoint;websocket_endpoint;action_type;action_url;filter_query;accent_color;icon;uid;active;ad_organization_id;ad_watch_list_id
1;Product Sw;Human Kids mobile;maximized Cheese;Bedfordshire US Dollar transform;Credit Card Account;Markets;URL;Home Loan Account;reinvent Business-focused Manager;compres;Savings Account Sleek connecting;60121eee-a3e5-48a3-82b5-ca764fc674d4;false;1;1
2;olive web-;Norfolk Island;District bypass driver;calculating;Expanded Plastic;PCI Awesome Regional;URL;Ethiopia;Isle of Man;Optimiz;Lempira Steel Generic Steel Table;f7812840-6e89-47f0-a335-0efb50d8b3ff;true;2;2
3;streamline;Customer Netherlands Antillian Guilder Markets;moderator;Granite Ergonomic Steel Table;solid state Representative;Future;MENU;recontextualize Ethiopian Birr;functionalities Officer generate;Belize ;Cambridgeshire;54ff3e75-1b53-4d13-9a1a-62f6c184d234;true;3;3
4;Web parsin;programming Tuna Lebanese Pound;Route Virgin Islands, British;online methodology Chair;AI Technician;salmon hard drive Money Market Account;MENU;copy;Towels back-end;interne;ADP;f0aed993-8e84-468c-ae96-5c78516d59e9;false;4;4
5;Savings Ac;viral installation Bedfordshire;bus;connecting intuitive Legacy;Vision-oriented Gloves Quetzal;Rhode Island Steel Generic;URL;Bedfordshire Metal;Fantastic cyan;bleedin;black monitoring Vatu;cc6effd1-d770-43c4-8a5f-fe834c9f3f47;false;5;5
6;Fantastic ;Handcrafted;Chief Agent payment;Cambridgeshire District Exclusive;system;1080p Mews;URL;iterate;Secured back-end;evolve ;Baby Central Unbranded Wooden Tuna;5ef520a7-17e8-4c89-bbb2-6e21756fe99b;false;6;6
7;Consultant;transmitter;hard drive;holistic Forges;California;Credit Card Account;MENU;SAS Refined;empowering fuchsia Bacon;Berkshi;Borders deposit array;ddf85fac-5493-40ce-9392-63ad537bd520;false;7;7
8;hack;Avon;Forward Trail;Incredible Plastic Hat;Checking Account Malta;impactful;MENU;Som leading edge;bus Avon;overrid;artificial intelligence Bedfordshire withdrawal;c5f2a0c3-b9a6-429f-bbe5-81785dbf91f2;true;8;8
9;bleeding-e;Practical Fresh Sausages;East Caribbean Dollar Refined Concrete Sausages;Director;orange;SAS;URL;Checking Account interface;explicit;Berkshi;optimal;beea1aeb-160b-4c08-8e6c-8b1e794fa6a7;true;9;9
10;Cotton;bus Jordanian Dinar;HDD Incredible Cotton Pants;Dynamic 1080p;Pakistan Rupee strategic Kids;pricing structure copy Gorgeous;URL;Texas Checking Account;Kids even-keeled;reboot ;Investment Account Borders leading edge;6b206558-2315-4849-ac62-6ebe1854db61;true;10;10
