id;name;description;uid;active;ad_organization_id
1;Incredible Frozen Cheese e-commerce;convergence;017ccf10-0f10-4394-a74f-bf0fb8948c05;true;1
2;Burkina Faso payment;Product green wireless;700903c1-2f0d-484b-ada7-9c71c9ca174d;true;2
3;payment;Tuna Rustic;e8163d8c-b0d1-4adc-844f-ed434d86f44b;true;3
4;transmitter Response Soft;extend Global;cf50ff70-bea5-4ca4-adae-8c007ca5ceec;false;4
5;Industrial lavender;application;a2b7472b-ea6a-4ed2-a06c-b9d78ee9b3ad;false;5
6;bleeding-edge Granite proactive;Drive;0afcf7fc-c7e5-4929-8e0d-9cfdf2208cea;false;6
7;port;Solomon Islands bluetooth;25d93ddf-5357-485a-96a2-539b453eec70;true;7
8;paradigms;Technician;4ca8b59b-537e-43fe-94b6-9319bbd17523;true;8
9;deposit e-business transmit;open-source calculate;f9ba7bc1-3c46-4b2b-a1ee-8b46672e5fd2;true;9
10;Bike;Sausages Fantastic toolset;118a1ccf-3ce9-4432-8ed0-86f8847a0329;false;10
