id;uid;name;value;translation_key;description;path;action;icon;redirect;sequence;hidden;always_show;active;ad_organization_id
1;08c8dd03-7a52-40f1-8521-0e5fec4b743f;reboot;National Rubber;Buckinghamshire cross-platform maximize;Home Loan Account Latvian Lats Regional;back-end Fantastic Cambridgeshire;WINDOW;emulation;Health alarm;49869;false;false;true;1
2;ddd71412-2e05-4304-9a7c-941b200d15fb;alliance;Brand Corporate Connecticut;Car e-enable Intelligent;optical attitude-oriented;Rhode Island matrix Steel;FORM;SQL;Metal;69700;true;false;false;2
3;292b9812-2e1e-43a9-9f0f-cc78944d229f;Adaptive Kansas Republic of Korea;Maine Auto Loan Account;Tasty THX networks;Savings Account calculate;envisioneer aggregate Handcrafted;FORM;Cayman Islands Dollar invoice budgetary management;Kids parsing structure;83442;false;false;false;3
4;98132b47-d706-4747-8039-59c4635edc46;invoice Wooden;Jewelery didactic;Sleek;mint green card;programming program;WINDOW;payment Focused Analyst;Bedfordshire;83663;false;true;true;4
5;b8f49bc9-5651-4aee-ae01-bbe5aa582479;Bedfordshire withdrawal Administrator;Kids Buckinghamshire actuating;functionalities;deposit Technician interface;User-friendly Bypass;WINDOW;silver;override Springs;76633;false;true;true;5
6;0135fb6f-37fb-4368-a129-a96736f31246;Lead function local area network;PNG override Architect;Granite;pixel Associate Chips;Gorgeous Cotton Table logistical;FORM;Table payment;Investment Account models Glen;23654;true;true;true;6
7;1cbe501a-4f23-40b1-ac16-c57b21f2ed9c;Liaison Buckinghamshire;Unbranded Soft Ball Montenegro;niches haptic;Money Market Account;extend PCI;WINDOW;web-readiness Functionality;Metrics;71522;true;false;true;7
8;ca89e77c-5f5b-4d97-ad94-9dbb9bb8ea42;payment;withdrawal pink action-items;copying Optimized firewall;invoice;Streets;WINDOW;customized Guarani evolve;envisioneer markets programming;54886;true;false;true;8
9;0b4ba134-fcde-4ab0-8e6a-f49ba48f713e;cross-platform Personal Loan Account;ADP Practical;Investment Account;Senior;Industrial Personal Loan Account;FORM;database index redundant;reintermediate;31528;false;false;true;9
10;6e44acb7-c0d1-4042-ae3f-174504e966bd;Configurable;knowledge user Response bus;heuristic pink;Curve Business-focused;Ergonomic;WINDOW;Buckinghamshire Handmade Rubber Ball real-time;Wooden;37473;true;false;true;10
