id;name;description;type;comment;document_action;document_status;uid;active;ad_organization_id;contract_id
1;Accountability Credit Card Account Centralized;../fake-data/blob/hipster.txt;payment Colombian Peso Unidad de Valor Real;Flats South Carolina;paradigms ;reintermedia;bb378117-55a7-462e-b87e-18224ff3c4d6;true;1;1
2;turn-key Architect intranet;../fake-data/blob/hipster.txt;Solomon Islands Berkshire Licensed;Haiti Rhode Island;Designer B;Generic;d4388510-bb24-42d2-9404-1a1074b6b744;false;2;2
3;Refined Wooden Chair Tools;../fake-data/blob/hipster.txt;monitor function;Montenegro;website st;architecture;cd684d76-ece1-4019-b528-882819a861d9;false;3;3
4;SCSI;../fake-data/blob/hipster.txt;HDD;Books seize Tasty;user-facin;Data Hat;99a257d5-8ee2-4522-bb57-1126c7f20c03;true;4;4
5;blue Functionality;../fake-data/blob/hipster.txt;Road Shoes;Berkshire Inverse Future;Table;Assurance;56812b37-36d9-4e34-9fa3-7cd6fbd7bb79;true;5;5
6;Business-focused Berkshire;../fake-data/blob/hipster.txt;Implementation Illinois;Borders;Cambridges;Berkshire Fr;93a5f732-e3b4-40e4-9033-94ae6bfac7aa;true;6;6
7;Chicken Unbranded Metal Bacon;../fake-data/blob/hipster.txt;Tasty;hybrid;grow;Intelligent ;a27a4084-96b2-48d2-aade-b211bb3ea41f;true;7;7
8;global Row hacking;../fake-data/blob/hipster.txt;Garden Buckinghamshire Rustic;Rand Loti;UIC-Franc ;Exclusive tr;5419808e-265b-4407-abf4-605563443c4b;true;8;8
9;utilisation primary;../fake-data/blob/hipster.txt;blue;virtual;efficient ;Metal sexy O;b1033ddf-fa52-474c-b92c-f3c29c5c2a42;false;9;9
10;connecting Savings Account Borders;../fake-data/blob/hipster.txt;upward-trending calculate;Somoni Turkmenistan streamline;multi-byte;Awesome Wood;4daa3311-5a09-4b36-96ed-26fee7e50c5e;true;10;10
